,course_count,sum,mean,min,max,median
AUC,268,1614.0,6.022388059701493,6.0,12.0,6.0
Amsterdam College of Law,10,51.0,5.1,3.0,6.0,6.0
Amsterdam Graduate Law School,106,627.0,6.087378640776699,0.0,12.0,6.0
College of Child Development and Education,22,123.0,5.857142857142857,3.0,9.0,6.0
College of Communication,47,348.0,7.733333333333333,0.0,18.0,6.0
College of Economics and Business,154,971.0,6.305194805194805,3.0,18.0,6.0
College of Humanities,413,2478.0,6.572944297082228,0.0,30.0,6.0
College of Informatics,14,59.0,5.363636363636363,3.0,6.0,6.0
College of Life Sciences,26,192.0,7.384615384615385,6.0,12.0,6.0
College of Sciences,64,363.0,5.761904761904762,3.0,15.0,6.0
College of Social Sciences,207,1809.0,8.781553398058252,0.0,18.0,6.0
Graduate School of Business,144,894.0,6.208333333333333,1.0,15.0,6.0
Graduate School of Child Development and Education,24,198.0,9.0,3.0,30.0,6.0
Graduate School of Communication,62,471.0,7.596774193548387,0.0,18.0,6.0
Graduate School of Economics,85,585.0,6.882352941176471,5.0,15.0,5.0
Graduate School of Humanities,438,3603.0,8.57857142857143,0.0,60.0,6.0
Graduate School of Informatics,124,863.0,6.959677419354839,1.0,48.0,6.0
Graduate School of Life and Earth Sciences,115,961.0,8.356521739130434,0.0,60.0,6.0
Graduate School of Sciences,238,1636.0,6.873949579831932,0.0,72.0,6.0
Graduate school of Social Sciences,215,2203.0,10.246511627906976,0.0,33.0,6.0
Institute for Interdisciplinary Studies,115,734.0,6.3826086956521735,2.0,36.0,6.0
Institute of Executive Programmes,115,535.0,4.776785714285714,0.0,20.0,4.0
Medical Informatics,17,126.0,7.411764705882353,2.5,42.0,5.5
PPLE - Politics Psychology Law Economics,59,351.0,5.9491525423728815,0.0,12.0,6.0
Psychology,147,1243.0,8.45578231292517,0.0,22.0,6.0
